"age";"sex";"educ";"income";"savings";"marriage";"kids";"party";"turnout";"vote_history";"economy";"incumbent";"candidate"
29;"Female";"College Degree or more";77.409427492529;15351.0104307542;"No";"0";"Socialist Party";"No";"0";"Bad";"About average";"Trampi"
43;"Male";"No High School Degree";395.273941427123;24800.836091093;"No";"1";"Independent";"No";"2";"Bad";"Very Bad";"Rilari"
25;"Female";"College Degree or more";2513.306835283;14898.2974250559;"No";"1";"Conservative Party";"Yes";"3";"Bad";"Very good";"Rilari"
27;"Male";"High School Degree";3050.55216534373;24754.2275563171;"Yes";"1";"Independent";"No";"3";"Bad";"Very good";"Trampi"
39;"Male";"College Degree or more";234.030443071888;25123.9681648141;"No";"1";"Independent";"No";"4";"Very Bad";"Good";"Other"
45;"Female";"College Degree or more";321.72173690897;5143.91093074786;"No";"1";"Conservative Party";"No";"4";"Very Bad";"Good";"None"
51;"Female";"College Incomplete";2105.90266738298;4760.26263441429;"Yes";"0";"Independent";"Yes";"0";"About average";"Very good";"Trampi"
44;"Female";"College Incomplete";2424.02054410387;4871.99115758229;"Yes";"0";"Conservative Party";"Yes";"3";"Good";"Good";"None"
41;"Male";"No High School Degree";2136.04599288377;4616.09275507222;"No";"2";"Conservative Party";"No";"3";"About average";"Very good";"Rilari"
34;"Female";"College Incomplete";2844.4976768825;5072.36327427769;"No";"3 or more";"Socialist Party";"No";"2";"Good";"Bad";"Trampi"
30;"Female";"No High School Degree";165.923419158467;15644.0591069555;"No";"1";"Independent";"No";"4";"Good";"Very good";"Rilari"
45;"Male";"High School Degree";665.674038869681;24815.6832506389;"Yes";"0";"Socialist Party";"No";"4";"Good";"Good";"Trampi"
35;"Female";"College Degree or more";2096.67716478054;24840.5757739339;"Yes";"0";"Independent";"No";"3";"About average";"Bad";"None"
33;"Female";"High School Degree";282.070377702249;44942.2990434413;"Yes";"1";"Independent";"No";"2";"Bad";"About average";"Rilari"
36;"Male";"High School Degree";87.3536271961884;45371.6357688982;"No";"0";"Independent";"No";"0";"Good";"Very good";"Rilari"
31;"Female";"High School Degree";634.822200797159;14891.2000216018;"No";"2";"Conservative Party";"No";"3";"Bad";"About average";"Trampi"
41;"Female";"College Incomplete";6539.98962760076;15364.8607186859;"No";"2";"Socialist Party";"Yes";"0";"Very Bad";"About average";"Rilari"
39;"Female";"College Degree or more";2397.90682440926;15021.1990985195;"Yes";"1";"Independent";"Yes";"4";"Bad";"Very Bad";"Rilari"
39;"Male";"High School Degree";6812.71569206789;14785.0059937752;"Yes";"0";"Independent";"Yes";"3";"About average";"Very good";"Rilari"
43;"Male";"High School Degree";2173.56394393797;15384.0809422027;"Yes";"0";"Independent";"Yes";"4";"Bad";"Good";"Trampi"
30;"Male";"No High School Degree";1243.31597196799;24676.8290965137;"Yes";"1";"Independent";"Yes";"0";"Bad";"Good";"Rilari"
34;"Female";"College Degree or more";2474.32370700921;14973.5349142424;"Yes";"0";"Independent";"Yes";"4";"About average";"Very good";"Trampi"
39;"Female";"No High School Degree";97.5911752628537;25002.7398828025;"Yes";"0";"Independent";"Yes";"0";"Very good";"Good";"Trampi"
34;"Female";"High School Degree";4487.43523984509;25517.5422527024;"No";"2";"Independent";"No";"4";"About average";"About average";"Rilari"
28;"Male";"College Incomplete";4412.00409049127;4854.68595400225;"No";"0";"Conservative Party";"No";"2";"Bad";"Bad";"Trampi"
35;"Male";"College Incomplete";591.258892477861;14796.3196457386;"No";"3 or more";"Socialist Party";"No";"3";"Very good";"Good";"Trampi"
33;"Female";"High School Degree";6430.2849795959;15283.5271542001;"No";"1";"Independent";"Yes";"2";"About average";"Very good";"Rilari"
34;"Male";"High School Degree";268.661560514454;25180.2710790428;"Yes";"0";"Socialist Party";"No";"4";"Bad";"Very good";"Trampi"
