"idade";"sexo";"educ";"partido";"candidato";"renda";"filhos"
47;"Male";"College Incomplete";"Conservative Party";"Other";23639.1399272631;0
37;"Female";"College Incomplete";"Conservative Party";"Trampi";16679.3493622235;2
21;"Female";"High School Degree";"Independent";"Trampi";8396.89924841565;0
37;"Male";"College Incomplete";"Socialist Party";"Trampi";22098.3183349169;1
39;"Female";"College Degree or more";"Socialist Party";"Other";10887.3289609397;2
45;"Female";"College Incomplete";"Socialist Party";"Other";8560.05642679336;1
41;"Male";"High School Degree";"Independent";"Other";35395.4567117361;2
36;"Female";"High School Degree";"Independent";"Rilari";-2363.21045103521;3
39;"Male";"College Incomplete";"Independent";"Trampi";12895.188447272;1
45;"Male";"College Degree or more";"Independent";"Rilari";28047.7775365409;5
33;"Male";"College Degree or more";"Socialist Party";"Rilari";24318.0171576562;2
41;"Male";"College Incomplete";"Conservative Party";"Rilari";25369.9488027703;1
36;"Female";"High School Degree";"Independent";"Other";12944.6289185593;2
38;"Male";"High School Degree";"Socialist Party";"Rilari";14777.6071003348;4
37;"Female";"College Incomplete";"Socialist Party";"None";17597.8777540013;1
38;"Male";"College Degree or more";"Conservative Party";"Trampi";18879.0684392413;1
39;"Male";"High School Degree";"Independent";"Rilari";30893.1899742353;1
37;"Female";"College Degree or more";"Conservative Party";"Rilari";20262.8923266601;1
34;"Male";"College Incomplete";"Conservative Party";"Rilari";30400.5387725503;3
32;"Female";"High School Degree";"Independent";"Trampi";18529.5413533254;1
29;"Female";"College Degree or more";"Independent";"Rilari";12174.9930618225;0
38;"Female";"High School Degree";"Independent";"Rilari";11463.9942596968;0
40;"Male";"High School Degree";"Independent";"Rilari";9351.48313669225;1
34;"Female";"No High School Degree";"Independent";"Other";12942.5380373105;3
35;"Male";"High School Degree";"Conservative Party";"Other";30230.5440541943;1
40;"Male";"No High School Degree";"Conservative Party";"Trampi";36627.3054053494;5
37;"Female";"College Degree or more";"Independent";"Rilari";20749.908615015;2
36;"Female";"No High School Degree";"Independent";"Other";1629.23768881125;2
36;"Female";"High School Degree";"Independent";"None";13842.1932350589;4
39;"Male";"High School Degree";"Independent";"Trampi";31568.7309809785;4
